"Date","Price","Open","High","Low","Vol.","Change %"
"09/04/2018","502.75","507.25","507.25","491.75","2.25K","-6.68%"
"09/03/2018","538.75","537.75","539.00","537.75","","3.91%"
"08/31/2018","518.50","509.50","522.25","509.50","0.67K","2.07%"
"08/30/2018","508.00","517.50","525.00","502.50","15.48K","-1.50%"
"08/29/2018","515.75","498.00","520.00","496.00","21.64K","3.51%"
"08/28/2018","498.25","500.25","504.25","494.75","22.07K","-0.20%"
"08/27/2018","499.25","513.75","513.75","499.00","23.19K","-3.01%"
"08/24/2018","514.75","522.00","522.00","513.00","52.01K","-1.39%"
"08/23/2018","522.00","529.00","535.50","515.50","35.63K","-0.76%"
"08/22/2018","526.00","526.50","533.00","520.50","35.80K","-0.24%"
"08/21/2018","527.25","544.00","544.25","526.25","38.08K","-2.77%"
"08/20/2018","542.25","562.00","562.75","540.75","42.93K","-3.26%"
"08/17/2018","560.50","542.25","563.00","535.00","66.48K","3.37%"
"08/16/2018","542.25","532.50","547.75","531.00","45.52K","1.88%"
"08/15/2018","532.25","541.00","542.75","528.25","70.67K","-1.75%"
"08/14/2018","541.75","534.75","544.25","532.25","58.39K","1.55%"
"08/13/2018","533.50","546.50","549.75","530.50","94.16K","-2.42%"
"08/10/2018","546.75","564.75","574.00","545.75","113.92K","-3.14%"
"08/09/2018","564.50","570.50","573.75","561.75","87.22K","-0.96%"
"08/08/2018","570.00","569.75","578.00","564.50","91.81K","0.31%"
"08/07/2018","568.25","575.25","586.25","564.00","106.03K","-1.09%"
"08/06/2018","574.50","555.00","576.25","551.50","75.85K","3.28%"
"08/03/2018","556.25","563.25","567.75","554.00","78.47K","-0.76%"
"08/02/2018","560.50","559.50","593.00","559.00","150.99K","0.40%"
"08/01/2018","558.25","555.25","566.00","550.75","100.63K","0.81%"
"07/31/2018","553.75","545.50","565.00","540.50","97.01K","1.33%"
"07/30/2018","546.50","533.50","551.75","532.75","72.66K","3.02%"
"07/27/2018","530.50","536.00","542.00","525.25","95.00K","-1.12%"
"07/26/2018","536.50","544.75","553.75","532.00","128.99K","-1.15%"
"07/25/2018","542.75","511.50","545.25","511.25","145.91K","6.37%"
"07/24/2018","510.25","511.50","516.25","505.25","66.28K","-0.68%"
"07/23/2018","513.75","518.00","522.50","512.00","74.23K","-0.44%"
"07/20/2018","516.00","503.50","519.75","503.00","76.74K","2.33%"
"07/19/2018","504.25","493.75","505.75","490.25","57.47K","1.97%"
"07/18/2018","494.50","498.25","505.00","493.75","54.26K","-0.65%"
"07/17/2018","497.75","491.00","504.25","487.75","70.28K","1.89%"
"07/16/2018","488.50","495.25","498.50","486.75","62.01K","1.45%"
"07/13/2018","481.50","484.50","497.50","481.25","0.01K","-0.21%"
"07/12/2018","482.50","484.25","484.25","484.25","0.07K","2.71%"
"07/11/2018","469.75","488.00","490.50","471.25","0.01K","-4.03%"
"07/10/2018","489.50","503.00","503.00","485.75","0.05K","-3.59%"
"07/09/2018","507.75","509.50","509.75","504.25","0.06K","-0.98%"
"07/06/2018","512.75","500.25","513.25","500.25","0.16K","1.74%"
"07/05/2018","504.00","507.00","508.75","503.25","0.17K","2.54%"
"07/03/2018","491.50","480.75","495.00","480.50","0.72K","2.34%"
"07/02/2018","480.25","497.25","505.00","477.25","0.88K","-3.47%"
"06/29/2018","497.50","479.50","504.00","479.50","2.49K","3.75%"
"06/28/2018","479.50","478.00","485.25","474.25","13.88K","0.00%"
"06/27/2018","479.50","470.00","482.25","468.75","30.82K","2.13%"
"06/26/2018","469.50","477.50","481.75","466.75","27.50K","-1.52%"
"06/25/2018","476.75","490.25","491.00","473.75","28.21K","-2.95%"
"06/22/2018","491.25","495.75","497.50","487.00","38.62K","-0.81%"
"06/21/2018","495.25","490.75","498.75","482.25","51.25K","1.43%"
"06/20/2018","488.25","477.75","490.00","474.75","55.87K","2.20%"
"06/19/2018","477.75","489.50","490.50","467.50","102.77K","-2.50%"
"06/18/2018","490.00","495.50","499.00","487.75","75.22K","-1.90%"
"06/15/2018","499.50","502.50","508.75","487.00","98.17K","-0.40%"
"06/14/2018","501.50","515.75","517.00","498.25","113.60K","-2.90%"
"06/13/2018","516.50","535.00","538.75","514.50","123.83K","-3.37%"
"06/12/2018","534.50","514.75","538.25","510.25","145.45K","3.89%"
"06/11/2018","514.50","520.00","528.25","511.75","95.72K","-1.06%"
"06/08/2018","520.00","528.25","533.50","513.25","128.28K","-1.28%"
"06/07/2018","526.75","522.25","537.00","519.25","121.87K","1.35%"
"06/06/2018","519.75","509.75","531.25","507.50","102.30K","1.91%"
"06/05/2018","510.00","507.00","518.75","506.00","106.92K","0.94%"
"06/04/2018","505.25","520.25","521.25","503.25","104.59K","-3.44%"
"06/01/2018","523.25","524.50","528.00","518.25","84.22K","-0.57%"
"05/31/2018","526.25","522.00","531.75","515.25","86.99K","0.81%"
"05/30/2018","522.00","534.75","534.75","516.50","106.72K","-2.70%"
"05/29/2018","536.50","547.50","554.00","531.50","140.35K","-2.10%"
"05/28/2018","548.00","548.00","548.00","548.00","","0.92%"
"05/25/2018","543.00","530.00","544.75","528.25","86.02K","2.40%"
"05/24/2018","530.25","531.00","545.25","529.25","136.82K","-0.14%"
